"exchange","bid","ask","time","created_at"
"bitflyer","467226.0","467892.0","1503070208","2017-08-18 15:30:08 UTC"
"coincheck","467442.0","467764.0","1503070209","2017-08-18 15:30:09 UTC"
"bitflyer","467231.0","467895.0","1503070209","2017-08-18 15:30:09 UTC"
"coincheck","467451.0","467756.0","1503070211","2017-08-18 15:30:11 UTC"
"bitflyer","467231.0","467894.0","1503070211","2017-08-18 15:30:11 UTC"
"coincheck","467455.0","467749.0","1503070212","2017-08-18 15:30:12 UTC"
"bitflyer","467232.0","467894.0","1503070213","2017-08-18 15:30:13 UTC"
"coincheck","467459.0","467737.0","1503070214","2017-08-18 15:30:14 UTC"
"bitflyer","467233.0","467895.0","1503070214","2017-08-18 15:30:14 UTC"
"coincheck","467399.0","467728.0","1503070216","2017-08-18 15:30:16 UTC"
"bitflyer","467233.0","467895.0","1503070217","2017-08-18 15:30:17 UTC"
"coincheck","467408.0","467718.0","1503070218","2017-08-18 15:30:18 UTC"
"bitflyer","467233.0","468032.0","1503070218","2017-08-18 15:30:18 UTC"
"coincheck","467380.0","467389.0","1503070220","2017-08-18 15:30:20 UTC"
"bitflyer","467233.0","468032.0","1503070221","2017-08-18 15:30:21 UTC"
"coincheck","467352.0","467375.0","1503070223","2017-08-18 15:30:23 UTC"
"bitflyer","467233.0","468032.0","1503070224","2017-08-18 15:30:24 UTC"
"coincheck","467352.0","467375.0","1503070225","2017-08-18 15:30:25 UTC"
"bitflyer","467411.0","468031.0","1503070225","2017-08-18 15:30:25 UTC"
"coincheck","467352.0","467375.0","1503070226","2017-08-18 15:30:26 UTC"
"bitflyer","467411.0","468031.0","1503070227","2017-08-18 15:30:27 UTC"
"coincheck","467352.0","467370.0","1503070228","2017-08-18 15:30:28 UTC"
"bitflyer","467412.0","468031.0","1503070229","2017-08-18 15:30:29 UTC"
"coincheck","467352.0","467365.0","1503070230","2017-08-18 15:30:30 UTC"
"bitflyer","467412.0","467600.0","1503070232","2017-08-18 15:30:32 UTC"
"coincheck","467323.0","467757.0","1503070233","2017-08-18 15:30:33 UTC"
"bitflyer","467413.0","467600.0","1503070234","2017-08-18 15:30:34 UTC"
"coincheck","467505.0","467751.0","1503070235","2017-08-18 15:30:35 UTC"
"bitflyer","467412.0","467599.0","1503070236","2017-08-18 15:30:36 UTC"
"coincheck","467515.0","467751.0","1503070237","2017-08-18 15:30:37 UTC"
"bitflyer","467412.0","467599.0","1503070238","2017-08-18 15:30:38 UTC"
"coincheck","467756.0","467784.0","1503070239","2017-08-18 15:30:39 UTC"
"bitflyer","467412.0","467599.0","1503070239","2017-08-18 15:30:39 UTC"
"coincheck","467756.0","467783.0","1503070241","2017-08-18 15:30:41 UTC"
"bitflyer","467606.0","468031.0","1503070241","2017-08-18 15:30:41 UTC"
"coincheck","467756.0","467779.0","1503070242","2017-08-18 15:30:42 UTC"
"bitflyer","467606.0","468031.0","1503070243","2017-08-18 15:30:43 UTC"
"coincheck","467761.0","467900.0","1503070244","2017-08-18 15:30:44 UTC"
"bitflyer","467606.0","468030.0","1503070245","2017-08-18 15:30:45 UTC"
"coincheck","467762.0","467895.0","1503070246","2017-08-18 15:30:46 UTC"
"bitflyer","467606.0","468030.0","1503070246","2017-08-18 15:30:46 UTC"
"coincheck","467762.0","467895.0","1503070248","2017-08-18 15:30:48 UTC"
"bitflyer","467606.0","468031.0","1503070250","2017-08-18 15:30:50 UTC"
"coincheck","467762.0","467895.0","1503070251","2017-08-18 15:30:51 UTC"
"bitflyer","467606.0","468101.0","1503070252","2017-08-18 15:30:52 UTC"
"coincheck","467767.0","467904.0","1503070253","2017-08-18 15:30:53 UTC"
"bitflyer","467611.0","468101.0","1503070253","2017-08-18 15:30:53 UTC"
"coincheck","467773.0","467904.0","1503070254","2017-08-18 15:30:54 UTC"
"bitflyer","467611.0","468101.0","1503070255","2017-08-18 15:30:55 UTC"
"coincheck","467779.0","467904.0","1503070256","2017-08-18 15:30:56 UTC"
"bitflyer","467611.0","468101.0","1503070257","2017-08-18 15:30:57 UTC"
"coincheck","467785.0","467999.0","1503070258","2017-08-18 15:30:58 UTC"
"bitflyer","467611.0","468101.0","1503070258","2017-08-18 15:30:58 UTC"
"coincheck","467794.0","468000.0","1503070260","2017-08-18 15:31:00 UTC"
"bitflyer","467611.0","468101.0","1503070260","2017-08-18 15:31:00 UTC"
"coincheck","468000.0","468076.0","1503070261","2017-08-18 15:31:01 UTC"
"bitflyer","467611.0","467800.0","1503070262","2017-08-18 15:31:02 UTC"
"coincheck","468006.0","468076.0","1503070263","2017-08-18 15:31:03 UTC"
"bitflyer","467611.0","467800.0","1503070265","2017-08-18 15:31:05 UTC"
"coincheck","468019.0","468100.0","1503070266","2017-08-18 15:31:06 UTC"
"bitflyer","467611.0","467800.0","1503070267","2017-08-18 15:31:07 UTC"
"coincheck","468020.0","468420.0","1503070268","2017-08-18 15:31:08 UTC"
"bitflyer","467606.0","467800.0","1503070268","2017-08-18 15:31:08 UTC"
"coincheck","468029.0","468257.0","1503070270","2017-08-18 15:31:10 UTC"
