"exchange","bid","ask","time","created_at"
"zaif","485735.0","485750.0","1502783639","2017-08-15 07:53:59 UTC"
"coincheck","485928.0","486170.0","1502783641","2017-08-15 07:54:01 UTC"
"zaif","485735.0","485750.0","1502783641","2017-08-15 07:54:01 UTC"
"coincheck","485925.0","486157.0","1502783642","2017-08-15 07:54:02 UTC"
"zaif","485705.0","485720.0","1502783643","2017-08-15 07:54:03 UTC"
"coincheck","485929.0","486148.0","1502783644","2017-08-15 07:54:04 UTC"
"zaif","485710.0","485720.0","1502783644","2017-08-15 07:54:04 UTC"
"coincheck","485922.0","486135.0","1502783646","2017-08-15 07:54:06 UTC"
"zaif","485705.0","485720.0","1502783646","2017-08-15 07:54:06 UTC"
"coincheck","485924.0","486139.0","1502783648","2017-08-15 07:54:08 UTC"
"zaif","485705.0","485720.0","1502783648","2017-08-15 07:54:08 UTC"
"coincheck","485924.0","486139.0","1502783650","2017-08-15 07:54:10 UTC"
"zaif","485700.0","485720.0","1502783650","2017-08-15 07:54:10 UTC"
"coincheck","485934.0","486123.0","1502783652","2017-08-15 07:54:12 UTC"
"zaif","485700.0","485720.0","1502783652","2017-08-15 07:54:12 UTC"
"coincheck","485938.0","486114.0","1502783653","2017-08-15 07:54:13 UTC"
"zaif","485700.0","485720.0","1502783654","2017-08-15 07:54:14 UTC"
"coincheck","485947.0","486111.0","1502783655","2017-08-15 07:54:15 UTC"
"zaif","485700.0","485720.0","1502783655","2017-08-15 07:54:15 UTC"
"coincheck","485920.0","486104.0","1502783657","2017-08-15 07:54:17 UTC"
"zaif","485700.0","485720.0","1502783657","2017-08-15 07:54:17 UTC"
"coincheck","485923.0","486094.0","1502783658","2017-08-15 07:54:18 UTC"
"zaif","485700.0","485720.0","1502783659","2017-08-15 07:54:19 UTC"
"coincheck","485871.0","486081.0","1502783660","2017-08-15 07:54:20 UTC"
"zaif","485700.0","485720.0","1502783660","2017-08-15 07:54:20 UTC"
"coincheck","485894.0","485896.0","1502783662","2017-08-15 07:54:22 UTC"
"zaif","485700.0","485720.0","1502783662","2017-08-15 07:54:22 UTC"
"coincheck","485750.0","485898.0","1502783664","2017-08-15 07:54:24 UTC"
"zaif","485700.0","485720.0","1502783664","2017-08-15 07:54:24 UTC"
"coincheck","485759.0","485885.0","1502783665","2017-08-15 07:54:25 UTC"
"zaif","485700.0","485720.0","1502783666","2017-08-15 07:54:26 UTC"
"coincheck","485770.0","486305.0","1502783667","2017-08-15 07:54:27 UTC"
"zaif","485700.0","485720.0","1502783667","2017-08-15 07:54:27 UTC"
"coincheck","485801.0","486300.0","1502783669","2017-08-15 07:54:29 UTC"
"zaif","485700.0","485720.0","1502783669","2017-08-15 07:54:29 UTC"
